variable,1st Downs,1st downs by penalty,3rd down %,3rd down efficiency,4th down %,4th down efficiency,Average Interception Yards,Average Kickoff Return Yards,Average Punt Return Yards,Comp-Att,FG: Good-Attempts,Fumbles-Lost,INT: Total,Interceptions,Kickoffs: Total,Net Average Punt Yards,Net Passing Yards,Net Passing Yards Per Game,Passing 1st downs,Passing Touchdowns,Possession Time Seconds,Punt: Total,Punt: Total Yards,Rushing 1st downs,Rushing Attempts,Rushing Touchdowns,Rushing Yards,Rushing Yards Per Game,Sacks-Yards Lost,Total Offensive Plays,Total Points,Total Points Per Game,Total Touchdowns,Total Yards,Total-Yards,Touchback Percentage,Turnover Ratio,Yards Per Game,Yards Per Pass Attempt,Yards Per Rush Attempt
Tennessee,241,26,43.18,76-176,16.67,2-12,11.6,20.7,15.7,200-360,23-27,30:33,15-174,13,14-290,37.7,2878,221.4,123,19,55,15-235,52-2129,92,461,13,1874,144.2,21--138,842,314,24.2,35,4752,83-683,0,16-7,365.5,8.0,4.1
Texas A&M,287,21,40.00,64-160,63.64,7-11,8.7,19.0,12.7,273-452,18-23,34:13,10-87,10,20-379,40.4,3060,235.4,152,22,56,26-330,59-2743,114,429,24,2068,159.1,34--200,915,384,29.5,47,5128,87-720,0,19-10,394.5,6.8,4.8
Vanderbilt,190,23,28.57,48-168,38.10,8-21,11.5,18.4,9.3,202-381,10-12,9-3,6-69,10,23-423,38.6,2064,172.0,81,10,00:00,17-158,80-3374,86,363,11,1496,124.7,28--179,772,198,18.0,24,3560,76-649,0,0,296.7,5.4,4.1
Appalachian State,295,20,44.50,89-200,81.25,13-16,10.7,24.4,9.6,231-370,11-16,32:57,14-150,6,23-562,39.6,2824,201.7,124,30,130,23-220,71-3035,151,599,35,3240,231.4,18--107,987,543,38.8,73,6064,95-899,0,9-3,433.1,7.6,5.4
Arkansas State,287,25,40.42,78-193,56.52,13-23,17.1,22.2,9.9,298-469,19-22,28:20,12-205,11,43-954,40.6,4057,312.1,166,37,96,23-228,65-2874,96,456,13,1654,127.2,40--212,965,438,36.5,54,5711,99-870,0,24-11,439.3,8.7,3.6
Coastal Carolina,267,17,40.70,70-172,79.31,23-29,11.5,15.7,15.3,217-334,15-20,15-8,11-127,9,17-267,36.6,2379,198.3,111,21,00:00,12-183,43-1684,139,520,24,2346,195.5,20--123,874,364,30.3,46,4725,67-586,0,0,393.8,7.1,4.5
Georgia Southern,224,20,30.36,51-168,42.86,6-14,16.4,19.9,14.6,80-155,20-28,31:49,9-148,1,20-398,40.5,968,74.5,46,9,101,8-117,68-2891,158,667,29,3285,252.7,28--142,850,360,27.7,43,4253,66-562,0,25-10,327.2,6.2,4.9
Georgia State,305,17,45.64,89-195,48.15,13-27,16.4,14.3,3.2,238-385,12-18,26:09,9-148,9,8-114,37.5,2577,198.2,129,22,56,10-32,51-2097,159,596,30,3141,241.6,19--145,1000,406,31.2,53,5718,56-557,0,12-7,439.8,6.7,5.3
Louisiana,351,19,47.62,80-168,52.94,9-17,10.2,23.3,6.3,268-413,16-23,28:17,10-102,4,40-932,40.9,3314,236.7,153,27,53,29-191,45-1991,179,574,42,3604,257.4,15--131,1002,531,37.9,69,6918,98-817,0,16-10,494.1,8.0,6.3
South Alabama,216,27,30.18,51-169,46.15,12-26,4.1,19.8,3.4,149-282,8-13,17-11,9-37,11,36-712,38.2,1906,158.8,83,14,00:00,12-41,67-2828,106,509,15,2057,171.4,28--166,819,223,18.6,29,3963,69-540,0,0,330.3,6.8,4.0
Texas State,203,22,33.72,58-172,30.77,4-13,5.4,23.1,8.3,278-441,13-19,7-4,7-38,20,39-899,34.9,2893,241.1,118,17,00:00,15-124,67-2524,63,327,8,921,76.8,30--207,798,221,18.4,26,3814,66-617,0,0,317.8,6.6,2.8
Troy,295,28,46.89,83-177,56.52,13-23,11.8,21.6,1.8,316-491,14-18,16-7,11-130,11,43-929,37.6,3758,313.2,166,30,00:00,9-16,45-1818,101,402,19,1717,143.1,27--155,920,408,34.0,52,5475,64-597,0,0,456.3,7.7,4.3
UL Monroe,272,21,40.00,70-175,57.14,16-28,16.7,16.3,5.2,246-412,9-15,12-6,10-167,12,38-621,38.9,3044,253.7,131,21,00:00,10-52,56-2440,120,456,29,2487,207.3,16--112,884,379,31.6,51,5531,95-764,0,0,460.9,7.4,5.5
